𬺰	fgh
𬼵	dkkn
𬼶	bgf
𬼷	byi
𬼸	uhk
𬼹	bou
𬼺	unmt	unht
𬼻	cbgj
𬼼	cbfm
𬼽	fhk
𬼾	fcfj
𬼿	dnkg
𬽀	xjfc
𬽁	fchx
𬽂	ywfc
𬽃	yhnn
𬽄	you
𬽅	yhkf
𬽆	yquu
𬽇	yqxb
𬽈	yhf
𬽉	yjbj
𬽊	yjbf
𬽋	ywwm
𬽌	yasu
𬽍	yafb	yffb
𬽎	ypar
𬽏	ymde
𬽐	ykkn
𬽑	yvwu	yqgw
𬽒	yvbf
𬽓	ypsb
𬽔	yjmd
𬽕	ylre
𬽖	gmhw	ymhw
𬽗	ypsc
𬽘	yqbk
𬽙	yigy
𬽚	yeee
𬽛	ypst	ypsy
𬽜	yxwy
𬽝	yhhe
𬽞	ypsp
𬽟	uqrm
𬽠	yxyc
𬽡	ccy
𬽢	wbn
𬽣	wfhh
𬽤	gwfk
𬽥	wghy
𬽦	wvyy
𬽧	wqyy
𬽨	wwhh
𬽩	wdxn
𬽪	wjg
𬽫	wufh
𬽬	wynt
𬽭	wnwy
𬽮	wfmh
𬽯	wakg
𬽰	wfjh
𬽱	wkgn
𬽲	wtbn
𬽳	wmmh
𬽴	wtdc
𬽵	wwfy
𬽶	wpmn
𬽷	wycy
𬽸	wphy
𬽹	wkcy
𬽺	wtvt
𬽻	wdoy
𬽼	wsyg
𬽽	wmgk
𬽾	wwhg
𬽿	wwny
𬾀	wwww
𬾁	wycq
𬾂	wych
𬾃	wynd
𬾄	wcyy
𬾅	wdqn
𬾆	wfcl
𬾇	wgmw
𬾈	wahb
𬾉	wfhy
𬾊	wgjj
𬾋	wkqj	wklj
𬾌	wmxx
𬾍	whbn
𬾎	wmeg
𬾏	wrbh
𬾐	wrqn
𬾑	wtmj
𬾒	wtmn
𬾓	wtjy
𬾔	wptd
𬾕	wyf
𬾖	wyig
𬾗	wytd
𬾘	wnuu
𬾙	wvgh
𬾚	wabm
𬾛	wjsy
𬾜	whey
𬾝	wqqe
𬾞	wrpy
𬾟	wrnr
𬾠	wqrn
𬾡	wwin
𬾢	wihc
𬾣	wipb
𬾤	wbkg
𬾥	wcib
𬾦	wlkf
𬾧	wccc
𬾨	wteh
𬾩	wnfg
𬾪	wfcl
𬾫	waxh
𬾬	wsyp
𬾭	wftk
𬾮	wajj
𬾯	wawf
𬾰	wjtg
𬾱	whrh
𬾲	wqkl
𬾳	wrdf
𬾴	wwcd
𬾵	wwwn
𬾶	wwgf
𬾷	wuey
𬾸	wnff
𬾹	wuvo
𬾺	uawc
𬾻	wypm
𬾼	wptk
𬾽	wgjn
𬾾	wfcl
𬾿	wdkk
𬿀	wawk
𬿁	wayq
𬿂	wuwy
𬿃	whas
𬿄	wljn
𬿅	weey
𬿆	wtec
𬿇	wwqq
𬿈	wwyc
𬿉	wtdf	wtah
𬿊	wrqb
𬿋	wjfd
𬿌	wobc	wqoc
𬿍	wynf
𬿎	ywuf
𬿏	wvyg
𬿐	wfgh
𬿑	wswc
𬿒	wgjt
𬿓	wlag
𬿔	whqc
𬿕	wmdf
𬿖	whag
𬿗	whff
𬿘	wtjs
𬿙	wtjf
𬿚	wynx
𬿛	wyvi
𬿜	wudh
𬿝	wphj
𬿞	wumk
𬿟	wphc
𬿠	nywg
𬿡	wawy
𬿢	wfae
𬿣	wget
𬿤	wajx
𬿥	wgms
𬿦	wadm
𬿧	whtf
𬿨	whhh
𬿩	whtm
𬿪	wtmd
𬿫	wwyp
𬿬	wnhh
𬿭	wnhh
𬿮	wyct
𬿯	wdgn
𬿰	wgdm
𬿱	wano
𬿲	wdec
𬿳	whdt
𬿴	wmdt
𬿵	whoy
𬿶	wwyr
𬿷	wjnj
𬿸	wwhf
𬿹	wrvq
𬿺	wpwi
𬿻	wfkf	wfky
𬿼	wgms
𬿽	wgmg
𬿾	whas
𬿿	wtgo
𭀀	wpnm
𭀁	wfag
𭀂	wfkm
𭀃	akfq
𭀄	wpvo
𭀅	wxrs
𭀆	wgkm
𭀇	wfkc
𭀈	wlwo
𭀉	wtlo
𭀊	wrwo
𭀋	wugt
𭀌	wjwp
𭀍	wgwb
𭀎	wgwb
𭀏	wujd
𭀐	wjao
𭀑	wyag
𭀒	wudy
𭀓	wahq
𭀔	wnij
𭀕	wgkh
𭀖	gqyi
𭀗	tuqv	nyqv
𭀘	tytq	xqv
𭀙	ttyq	tnqb
𭀚	ytyq	ynqb
𭀛	ncqv
𭀜	tytq	xyqv
𭀝	gqui
𭀞	fqqi
𭀟	ghwq
𭀠	tkqb
𭀡	tdnd	dqdd
𭀢	dkqb
𭀣	tkqy
𭀤	uuqn
𭀥	tkqc
𭀦	iqtd
𭀧	ukqf
𭀨	iqyc
𭀩	fqef
𭀪	fqhm
𭀫	fqde
𭀬	iqiq
𭀭	wgkq
𭀮	iqga
𭀯	rqxj	tlqj
𭀰	qkqq
𭀱	tkqq
𭀲	tfqn
𭀳	tfqm
𭀴	iqym
𭀵	tfqn
𭀶	iqcp
𭀷	tfqm
𭀸	rqlo	tlqo
𭀹	vqed
𭀺	tfqk
𭀻	mwnb
𭀼	tyfc
𭀽	dtyu
𭀾	kbty
𭀿	tyvb	wvbf
𭁀	wthy
𭁁	tygs	wgws
𭁂	tygf	wgbf
𭁃	tygs	wgbs
𭁄	uahj	unhk
𭁅	wchy
𭁆	tfwu
𭁇	jgnw
𭁈	jtfw
𭁉	jgnw
𭁊	uqww
𭁋	wvmw
𭁌	udyn
𭁍	wcdh
𭁎	wceg
𭁏	ujtf	wltf
𭁐	tgvo
𭁑	udia
𭁒	mjwu
𭁓	wcgy
𭁔	ajhw
𭁕	whgw
𭁖	uviy
𭁗	ulgt	ulgq	wglq
𭁘	qtju
𭁙	udys
𭁚	awue
𭁛	utdp
𭁜	wcor
𭁝	vtkw
𭁞	adwn
𭁟	mghk
𭁠	mfhk
𭁡	dmff
𭁢	gmhg
𭁣	gumh
𭁤	dmdm
𭁥	gmfc
𭁦	mtdd
𭁧	mwit
𭁨	moi
𭁩	ycmf
𭁪	fcmh
𭁫	anmf
𭁬	dmde
𭁭	imiu
𭁮	vbmw
𭁯	anmh
𭁰	mgkq
𭁱	mfof
𭁲	fwfw
𭁳	ppnb
𭁴	pgjg
𭁵	pfqt
𭁶	pgjq
𭁷	phwu
𭁸	phjj
𭁹	pwff
𭁺	ppyf
𭁻	pnlf
𭁼	pjgh
𭁽	pkho
𭁾	pwvc
𭁿	ppyc
𭂀	plge
𭂁	phjo
𭂂	pwjh
𭂃	pssi
𭂄	pjuw
𭂅	pdhn
𭂆	ugnn
𭂇	uln
𭂈	umh
𭂉	uqry
𭂊	unxn
𭂋	ufkg
𭂌	ujy
𭂍	uhxn
𭂎	uudh
𭂏	uwug
𭂐	uqrk
𭂑	uhic
𭂒	umdj
𭂓	uybg
𭂔	uywu
𭂕	uviy
𭂖	umtj
𭂗	uytb
𭂘	unhe
𭂙	uwyc
𭂚	uuwl
𭂛	uwno
𭂜	uswi
𭂝	uiph
𭂞	uumd
𭂟	ukhm
𭂠	uujg
𭂡	uulj
𭂢	udgn
𭂣	uugy
𭂤	uwyg
𭂥	uajf
𭂦	upgn
𭂧	ugkj
𭂨	ujaf
𭂩	mfk
𭂪	qmv	qmn
𭂫	tmyi
𭂬	mui
𭂭	wvmb
𭂮	myvy
𭂯	tmfj
𭂰	mdmb
𭂱	mded
𭂲	mgmm
𭂳	ghmq
𭂴	mkkd
𭂵	mimm
𭂶	cmgk
𭂷	hhmb
𭂸	hadm
𭂹	mvgm
𭂺	mtgo
𭂻	tfbb	tgmb
𭂼	vnvb
𭂽	bmqd
𭂾	gjwb
𭂿	qbgn
𭃀	bmgn
𭃁	bmgn
𭃂	vfd
𭃃	van
𭃄	fvn
𭃅	vyj
𭃆	cyjk
𭃇	vcyy
𭃈	vwgn
𭃉	vyy
𭃊	ngng
𭃋	vcn
𭃌	gvn
𭃍	gvvf
𭃎	vgfj	ndfj
𭃏	hhjh
𭃐	hhvn
𭃑	vhhy
𭃒	kcjh
𭃓	wvmy
𭃔	tbty
𭃕	vfkg
𭃖	gqjv
𭃗	majh
𭃘	vmww
𭃙	vthf
𭃚	tgvy
𭃛	vqsy
𭃜	wdvb
𭃝	vwat
𭃞	qkjh
𭃟	wgkv
𭃠	vuqy
𭃡	pyqr
𭃢	vdpy
𭃣	wwkj
𭃤	eejh
𭃥	rmwj
𭃦	vuxt
𭃧	cqqj	cwqj
𭃨	puqt
𭃩	ssvb
𭃪	aplj
𭃫	vjxx
𭃬	kmaj
𭃭	rmhj
𭃮	vwyn
𭃯	tsjh
𭃰	pqxj
𭃱	ugty
𭃲	ccij
𭃳	cjjh
𭃴	gkmj
𭃵	ackj
𭃶	jgqj
𭃷	vyhh
𭃸	pgcj
𭃹	iitv
𭃺	ptkj
𭃻	udyj
𭃼	vlks
𭃽	vnhg
𭃾	axjj
𭃿	fjwv
𭄀	uogy
𭄁	qyvj
𭄂	tfhv
𭄃	wvbb
𭄄	vijv
𭄅	cccj
𭄆	ffnj
𭄇	lrvb
𭄈	oguj
𭄉	yawj
𭄊	yvej
𭄋	pntj
𭄌	pntv
𭄍	uxhv
𭄎	vnfj
𭄏	gnfj	gvhj	gntj
𭄐	tysv
𭄑	pdlj
𭄒	qtvj
𭄓	djgj
𭄔	tqrj
𭄕	twgj
𭄖	pdej
𭄗	pnmj
𭄘	gajj
𭄙	tynj
𭄚	akkj
𭄛	tfqj
𭄜	wgkj
𭄝	vakw
𭄞	wlb
𭄟	alb
𭄠	qtln
𭄡	gjfl	dklb
𭄢	lktc
𭄣	qtvl
𭄤	tlfh
𭄥	vklb
𭄦	fyln	gqln
𭄧	gknn
𭄨	tmdl
𭄩	wvgl
𭄪	ckfl
𭄫	ullb
𭄬	fufl
𭄭	adwl
𭄮	ahtl
𭄯	ahtl
𭄰	jsln
𭄱	lkry
𭄲	pwal
𭄳	aegl
𭄴	yjfl
𭄵	nhkl
𭄶	cbtl
𭄷	luwl
𭄸	ytel
𭄹	xlll
𭄺	gkil
𭄻	lkru
𭄼	txgl
𭄽	uxhl
𭄾	haql
𭄿	awyl
𭅀	ffcl
𭅁	khgl
𭅂	lawl
𭅃	yuwl	uwyl
𭅄	qci
𭅅	qcnv
𭅆	qfjk
𭅇	qhkd
𭅈	qymh
𭅉	qrrh
𭅊	quhv
𭅋	qgku
𭅌	adwy
𭅍	gnfy	gvhy	gnty
𭅎	fjqn
𭅏	dwfn
𭅐	utxv
𭅑	udxb
𭅒	ugtx
𭅓	fjxn
𭅔	axv
𭅕	agfk
𭅖	afk
𭅗	ald
𭅘	aygd
𭅙	agcf
𭅚	aqqi
𭅛	aiwc
𭅜	aafw
𭅝	ajvu	ajuv	ajnu
𭅞	anbt
𭅟	uqnq
𭅠	fmb
𭅡	tltf
𭅢	udkh
𭅣	xxfc
𭅤	rtfb
𭅥	fmuy
𭅦	tftf
𭅧	adwa
𭅨	fhwf
𭅩	xyxf
𭅪	fjdn
𭅫	ghgk	nghk
𭅬	fhfi
𭅭	hjdj
𭅮	fpgf
𭅯	hvte
𭅰	hvte	hnft
𭅱	hhqs
𭅲	byi
𭅳	ybyu
𭅴	gnhu
𭅵	gqbh
𭅶	ffbh
𭅷	ftxb
𭅸	jbj
𭅹	qqbn
𭅺	yvcb
𭅻	qdbb
𭅼	xtvb
𭅽	qqvb
𭅾	ymwb
𭅿	tonb
𭆀	dtnv
𭆁	dknv
𭆂	djnv
𭆃	dnav
𭆄	dvhm
𭆅	drqv
𭆆	ahtd
𭆇	ddhw
𭆈	dwxi
𭆉	gold
𭆊	dbbk
𭆋	dadk
𭆌	ddhd
𭆍	dajk
𭆎	dmfi
𭆏	dudw
𭆐	dnbc
𭆑	ahtn
𭆒	made
𭆓	fitn
𭆔	djtk
𭆕	djet
𭆖	dodm
𭆗	vfbb
𭆘	dwww
𭆙	cdcu
𭆚	cgaj
𭆛	xxfc
𭆜	dwwc
𭆝	cqcc
𭆞	cdiu
𭆟	sscu
𭆠	qdcc
𭆡	cvjf
𭆢	tgvc
𭆣	ciqj
𭆤	ccci
𭆥	nci
𭆦	chf
𭆧	acy
𭆨	chf
𭆩	cdhf
𭆪	hjhc
𭆫	cbdc
𭆬	hnnc
𭆭	cjnt	cjny
𭆮	wwkc
𭆯	ubtc
𭆰	vpcb
𭆱	ghgy
𭆲	elcu
𭆳	ahnc
𭆴	djfc
𭆵	tgac
𭆶	tlhc
𭆷	pgic
𭆸	kvb
𭆹	tykf
𭆺	kfh
𭆻	kdg
𭆼	kghu
𭆽	khf
𭆾	kqnb
𭆿	ktab
𭇀	kyqy
𭇁	nhkf
𭇂	kxn
𭇃	kdgg
𭇄	sksh
𭇅	khcy
𭇆	ktff
𭇇	kqan
𭇈	dhkf
𭇉	ktay
𭇊	kuu
𭇋	ckf
𭇌	vkxb
𭇍	vkxb
𭇎	kskf
𭇏	stkg
𭇐	kaff
𭇑	uxkf
𭇒	kmah
𭇓	kryy
𭇔	kwmh
𭇕	qkqy
𭇖	kpfj
𭇗	kycy
𭇘	kybh
𭇙	kicy
𭇚	kudy
𭇛	kyiy
𭇜	knty
𭇝	mkxb
𭇞	kajh
𭇟	kgqx
𭇠	fkbn
𭇡	kdfy
𭇢	ghvk
𭇣	kxjg
𭇤	rhkx
𭇥	wekf
𭇦	vkf
𭇧	kwny
𭇨	krgi
𭇩	kwyg	kwgg
𭇪	ynck
𭇫	kyth
𭇬	kpbg
𭇭	kynv
𭇮	kiag
𭇯	kyjh
𭇰	knny	knng
𭇱	vkwv
𭇲	kcqw
𭇳	kcqw
𭇴	kuah
𭇵	kfrh
𭇶	ksbg
𭇷	sksx
𭇸	frck
𭇹	kaww
𭇺	kqwk
𭇻	kagf
𭇼	kann
𭇽	kjmh
𭇾	kkwn
𭇿	kwlk
𭈀	ktcy
𭈁	kwjh
𭈂	kwjg
𭈃	thkx
𭈄	kwsg
𭈅	ktdn
𭈆	tkge
𭈇	kymh
𭈈	kylg
𭈉	kyig
𭈊	kvcn
𭈋	kvrg
𭈌	kahw
𭈍	kfve
𭈎	katd
𭈏	kafw
𭈐	khxf
𭈑	kksk
𭈒	keeg
𭈓	kwgq
𭈔	kqwg
𭈕	ktyg
𭈖	kwgj
𭈗	kqsj
𭈘	ktrr
𭈙	kecn
𭈚	kwgg
𭈛	ktbg
𭈜	ktlg
𭈝	rnrk
𭈞	kyne
𭈟	kigt
𭈠	kitp
𭈡	kieg
𭈢	kpyb
𭈣	kifi
𭈤	kymw
𭈥	kuyh
𭈦	kbry
𭈧	kcdd
𭈨	kbqq
𭈩	kndc
𭈪	kbpx
𭈫	kbkg
𭈬	fkwe
𭈭	kjeg
𭈮	kgip
𭈯	kfyw
𭈰	gkpg
𭈱	fkfx
𭈲	kfgg
𭈳	kbnn
𭈴	ksyg
𭈵	krvq
𭈶	kgny
𭈷	kfve
𭈸	dkpg
𭈹	kgnh
𭈺	kant
𭈻	kjtg
𭈼	kkjj
𭈽	kjbn
𭈾	kjqb
𭈿	ktdi
𭉀	wynf
𭉁	wgkq
𭉂	ktve
𭉃	kwgl
𭉄	kten
𭉅	enrq
𭉆	knve
𭉇	kpey
𭉈	kugx
𭉉	kitd
𭉊	kuqk
𭉋	kudu
𭉌	kpya
𭉍	kyvn
𭉎	kyon
𭉏	kvcn
𭉐	kvgf
𭉑	kbve
𭉒	vfbk
𭉓	kbth
𭉔	vfbl
𭉕	kcgj
𭉖	ntfx
𭉗	kxfk
𭉘	tkkn
𭉙	kuwk
𭉚	kfcd
𭉛	krja
𭉜	krjf
𭉝	kgqi
𭉞	kfob
𭉟	kgoj
𭉠	dhuf
𭉡	kawf
𭉢	imkk
𭉣	khlf
𭉤	khjy
𭉥	mnmm
𭉦	hwkx
𭉧	kipq
𭉨	kwye
𭉩	kwuk
𭉪	ktrf
𭉫	kwhe
𭉬	ktfi
𭉭	kqtf
𭉮	kynn
𭉯	kuqw
𭉰	kngk
𭉱	knfb
𭉲	kuqt
𭉳	kpju
𭉴	kija
𭉵	udxk	utxk
𭉶	kygq
𭉷	kpyg
𭉸	kpyy
𭉹	kxtj
𭉺	kvvb
𭉻	kvye
𭉼	kcwy
𭉽	wykc
𭉾	kgjf
𭉿	kdeq
𭊀	kske
𭊁	krdi
𭊂	ksjf
𭊃	kssy
𭊄	kgkd
𭊅	krrp
𭊆	fotk
𭊇	kgol
𭊈	klaw
𭊉	kkkk
𭊊	kath
𭊋	kafa
𭊌	khag
𭊍	kkkn
𭊎	kkbk
𭊏	kwge
𭊐	mfkk
𭊑	kese
𭊒	kwww
𭊓	ktjr
𭊔	ktdc
𭊕	keuq
𭊖	wwkk
𭊗	ktxt
𭊘	kukb
𭊙	kyvw
𭊚	kygh
𭊛	kynx
𭊜	konr
𭊝	vtkk
𭊞	kcbl
𭊟	knhf
𭊠	kxtb
𭊡	fkak
𭊢	ckxb
𭊣	sksc
𭊤	kffc
𭊥	kfoc
𭊦	ksso
𭊧	kgqq
𭊨	kdkn
𭊩	kdmf
𭊪	krjn
𭊫	kade
𭊬	affx
𭊭	kadn
𭊮	kagf	kagw
𭊯	kkkn
𭊰	khao
𭊱	kkhc
𭊲	kkkh
𭊳	kuny
𭊴	kthx
𭊵	ktji
𭊶	kqqq
𭊷	ktrb
𭊸	keaj
𭊹	kyvp
𭊺	kyvp
𭊻	kpfu
𭊼	iska
𭊽	kxtk
𭊾	kxgf
𭊿	kxgg
𭋀	kxce
𭋁	kccn
𭋂	kfgm
𭋃	kbbn
𭋄	kfph
𭋅	kxts
𭋆	aqkk
𭋇	kadt
𭋈	kldd
𭋉	kkjy
𭋊	klkl
𭋋	klkm
𭋌	kipf
𭋍	kkfh
𭋎	kjuj
𭋏	klfh
𭋐	kerf
𭋑	ktrp
𭋒	kwnb
𭋓	ktft
𭋔	krff
𭋕	kwyy
𭋖	krrl
𭋗	kplp
𭋘	uuqk	uqkk
𭋙	kpyi
𭋚	ymwx
𭋛	dpfe
𭋜	kfkp
𭋝	kgjt
𭋞	ksuy
𭋟	ksgt
𭋠	fkih
𭋡	ksfn
𭋢	kdmg
𭋣	kgqo
𭋤	kxtt
𭋥	kalq
𭋦	kafj
𭋧	kkbw
𭋨	kwdc
𭋩	krlh
𭋪	kngf
𭋫	kiad
𭋬	kumj
𭋭	kyce
𭋮	kxmn
𭋯	kvgw
𭋰	kgyc
𭋱	kfft
𭋲	kfag
𭋳	klwa
𭋴	kfkm
𭋵	fkir
𭋶	kslv	kskv
𭋷	kkbb	kbkb
𭋸	kxto
𭋹	kxfo
𭋺	kxfi
𭋻	khft
𭋼	kajn
𭋽	kajc
𭋾	kkbk
𭋿	kwwa
𭌀	whwk
𭌁	kwgn
𭌂	kyvv
𭌃	kywn
𭌄	kymk
𭌅	kudn
𭌆	kntt
𭌇	kboh
𭌈	kxgi
𭌉	vtbf
𭌊	fkuq
𭌋	klwj
𭌌	fkke
𭌍	kfom
𭌎	kftq
𭌏	kfnh
𭌐	ggna
𭌑	kxfm
𭌒	kxtm
𭌓	kkjk
𭌔	khwt
𭌕	kauf
𭌖	kass
𭌗	khab
𭌘	klfn
𭌙	kmfj
𭌚	khfi
𭌛	whwk
𭌜	kwxh
𭌝	kwgy
𭌞	kwgq
𭌟	kugt
𭌠	uduh
𭌡	kxgg
𭌢	kaff
𭌣	katn
𭌤	kfoj
𭌥	kjet
𭌦	khxo
𭌧	kato
𭌨	kwnh
𭌩	kuuj
𭌪	kkak
𭌫	kean
𭌬	ktyk
𭌭	kwrm
𭌮	kvgq
𭌯	kxgf
𭌰	kgvb
𭌱	katy
𭌲	kexy
𭌳	tfkk
𭌴	khhc
𭌵	kafc
𭌶	ktac
𭌷	whwk
𭌸	kwgp
𭌹	kpyq
𭌺	kxgj
𭌻	kvvo
𭌼	kccg
𭌽	kvgm
𭌾	kauy
𭌿	khbc	khwc
𭍀	kipo
𭍁	tfkd
𭍂	keuc
𭍃	knwg
𭍄	kybf
𭍅	knky
𭍆	kfkk
𭍇	kcsi
𭍈	kjye
𭍉	kevo
𭍊	kqqt
𭍋	kxfm
𭍌	ktud
𭍍	kwkt
𭍎	kueb
𭍏	kyfm
𭍐	khbw	khww
𭍑	kmeu
𭍒	kjly
𭍓	kghf
𭍔	khif
𭍕	kmmo
𭍖	kkgf
𭍗	koai
𭍘	kxaq
𭍙	kkkf
𭍚	lmv
𭍛	lwci
𭍜	lwbv
𭍝	lfci
𭍞	lwjd
𭍟	liad
𭍠	glkf
𭍡	lkat
𭍢	lqtg
𭍣	lqyv
𭍤	luk
𭍥	gljf	gmjd
𭍦	layv
𭍧	lhed
𭍨	lkbm
𭍩	ldgt
𭍪	lkbd
𭍫	lfii	lpyi
𭍬	lgmi
𭍭	llaw
𭍮	lkag
𭍯	lqoi
𭍰	liwy
𭍱	lggg
𭍲	lakj
𭍳	lulj
𭍴	lwgw
𭍵	ltha
𭍶	xtdk
𭍷	lakg
𭍸	lawv
𭍹	lkmj
𭍺	tyff	wff
𭍻	jnff
𭍼	nhfy
𭍽	fbb
𭍾	ffcy
𭍿	fgah
𭎀	fqxn
𭎁	qaff
𭎂	fwwy
𭎃	fpqn
𭎄	fxvn
𭎅	fddn
𭎆	gccf
𭎇	itfy	ityf
𭎈	mfbd
𭎉	fqhy
𭎊	rff
𭎋	frfh
𭎌	fthf
𭎍	xlff
𭎎	fwfj
𭎏	fahh
𭎐	fnff
𭎑	fdoy
𭎒	fffy
𭎓	fjh
𭎔	fhxn
𭎕	fweu	fwte	fnwu
𭎖	fmgh
𭎗	thff
𭎘	frmh
𭎙	ukff
𭎚	fifh
𭎛	fng
𭎜	fdtf
𭎝	ftdk
𭎞	fgku
𭎟	fgik
𭎠	ggif
𭎡	fhjg
𭎢	lcff
𭎣	fkhy
𭎤	ftjg
𭎥	fpsy
𭎦	isff
𭎧	fqlg
𭎨	fitd
𭎩	ffwf
𭎪	fdua
𭎫	fgey
𭎬	ffuf
𭎭	hamf
𭎮	jeff
𭎯	fjeg
𭎰	ftsb
𭎱	frpy
𭎲	ywtf
𭎳	fyey
𭎴	bgmf
𭎵	rnxf
𭎶	ffak
𭎷	fdhl
𭎸	fdmy
𭎹	fdmd
𭎺	fdeb
𭎻	fadw
𭎼	fkve
𭎽	mhdf
𭎾	fvhc
𭎿	ftee
𭏀	tgad
𭏁	femh
𭏂	nvef
𭏃	ngjf
𭏄	iwgf
𭏅	fuph
𭏆	fpiq
𭏇	uqbf
𭏈	ithf
𭏉	filg
𭏊	fnud
𭏋	fcbs
𭏌	fdwi
𭏍	fadr
𭏎	fftj
𭏏	jrgf
𭏐	fmpq
𭏑	whnf
𭏒	fwhd
𭏓	wcwy
𭏔	fwqq
𭏕	fpfn
𭏖	fyah
𭏗	fyke
𭏘	fudp
𭏙	cexf
𭏚	bwtf
𭏛	fpkl
𭏜	ftec
𭏝	sqsf
𭏞	awwf
𭏟	fhag
𭏠	fipf
𭏡	fmdf
𭏢	tjgf
𭏣	frhh
𭏤	ftfp
𭏥	fwfi
𭏦	fugl
𭏧	fpes
𭏨	fpgl
𭏩	fiwh
𭏪	dubf
𭏫	fada
𭏬	fjaf
𭏭	imkf
𭏮	tgud	tfud
𭏯	wwfv
𭏰	ijgf	ithf
𭏱	fyyb
𭏲	fufe
𭏳	pwwf
𭏴	fnfj
𭏵	fntk
𭏶	akgf
𭏷	sxef
𭏸	fkhp
𭏹	ftkf
𭏺	iubf
𭏻	usrf
𭏼	ylvf
𭏽	fywc
𭏾	fubg
𭏿	cexf
𭐀	fdmg
𭐁	fhan
𭐂	eudf
𭐃	tlbf
𭐄	fbdf
𭐅	akgq
𭐆	fffq
𭐇	ftre
𭐈	ftmt
𭐉	iynf
𭐊	yacf
𭐋	pdhf
𭐌	faal
𭐍	llly
𭐎	fuht
𭐏	fsae
𭐐	fjym
𭐑	lfot
𭐒	flkf
𭐓	fpfy
𭐔	fpll
𭐕	fkuy
𭐖	fkgf
𭐗	fkdi
𭐘	ffit
𭐙	fknf
𭐚	fpgk
𭐛	fpgs
𭐜	fxik	fxxk
𭐝	tre
𭐞	tgku
𭐟	xtcu
𭐠	ghtu
𭐡	nttu
𭐢	adtu
𭐣	tjft
𭐤	ycqt
𭐥	tjdt
𭐦	yogt
𭐧	sstu
𭐨	fqtg	fwtg
𭐩	cwth
𭐪	cwct	cwtt
𭐫	epnt
𭐬	qlht
𭐭	fqtk	fwtk
𭐮	tfjt
𭐯	mmtu
𭐰	tfdt
𭐱	uhtt
𭐲	dhtl
𭐳	qfui
𭐴	qyqu
𭐵	qvtt
𭐶	qqcy
𭐷	qmfk
𭐸	qvuu
𭐹	qqra
𭐺	ywtf
𭐻	ywtc
𭐼	mqrf
𭐽	qqsw
𭐾	qqls
𭐿	ywtk
𭑀	qqmi
𭑁	ywtv
𭑂	vdu
𭑃	dgfj
𭑄	qbdu
𭑅	gnmw
𭑆	gdfc
𭑇	gdfc
𭑈	gdgd
𭑉	wkdu
𭑊	uduu
𭑋	ufdu
𭑌	fwan
𭑍	kkdu
𭑎	uduf
𭑏	qldu
𭑐	rwxu
𭑑	egcd
𭑒	tldu
𭑓	fpby
𭑔	gqjw
𭑕	tgvd
